id_speaker;gender;nb_turn
4698;male;22
3261;female;4
3608;male;2
2617;male;640
4660;male;7
2750;female;1
3295;male;15
4655;male;43
2994;male;5
3139;male;1
2621;male;357
2625;male;66
3386;female;1
2932;male;219
3155;NA;1
2749;male;1
3515;male;16
2882;male;44
2748;female;3
3118;female;13
2960;male;91
3804;male;1
3971;male;7
4866;male;41
3311;male;7
4696;female;1
3921;male;5
2943;male;109
3390;female;2
3509;male;2
3426;male;13
3122;female;8
3613;male;1
2754;male;165
4678;male;14
3269;male;40
2628;male;94
3609;male;2
2653;male;14
4688;male;9
3430;female;2
3558;female;48
3117;male;35
2980;female;53
3315;male;14
3153;male;1
2740;male;19
3607;male;19
3147;male;44
4683;male;24
3135;male;4
3149;female;2
3395;male;101
3387;male;1
3636;male;58
3127;male;3
3969;male;5
3157;NA;1
3673;male;125
4831;female;22
3497;male;19
3303;female;17
4675;male;30
2608;female;32
3506;female;4
4829;male;31
3253;male;1
3392;female;7
4668;male;55
3500;male;1
3133;male;29
2913;male;70
2747;female;7
3616;male;2
2636;male;6
3389;male;2
3256;male;3
2568;female;2
3136;male;22
3258;female;5
3113;NA;1
3970;female;4
3615;male;2
2191;male;73
4690;male;5
4662;male;1
2613;male;9
1056;male;1
1806;male;77
3450;male;162
4672;female;13
3629;male;57
3145;male;50
3287;male;20
3394;female;4
3128;male;1
3;male;78
2883;male;55
1209;male;51
3611;male;6
3605;male;1
3254;male;1
0;NA;2516
3252;male;24
4659;male;3
3388;male;1
3286;male;26
4684;male;29
3288;male;3
3425;male;49
2623;male;825
3154;NA;1
3257;male;1
2616;male;468
3138;female;1
4689;male;4
2785;female;6
3143;male;54
3610;male;1
588;female;71
3385;female;2
2607;female;34
505;male;1
2602;male;1060
3972;male;2
4832;male;3
4674;male;43
3845;female;11
2620;male;836
3312;male;164
3606;male;1
2751;male;1
3142;female;14
3120;male;1
3119;male;30
4694;male;1
4808;male;64
4680;male;4
4699;male;14
3527;male;189
2618;male;41
4657;male;24
3115;male;67
2738;NA;7
3134;male;32
3431;female;9
2656;male;5
2614;female;6
2739;male;12
3259;male;2
2743;male;74
3839;male;14
4665;female;2
3503;female;2
4685;female;2
4833;male;13
2742;male;1
3130;male;39
3306;male;1
1179;male;28
3141;male;1
3542;male;2
2611;female;8
3066;male;12
2612;female;5
3246;female;13
3068;male;2
4691;male;42
3522;male;1
2190;male;215
3313;male;6
3248;female;2
3844;female;7
4676;male;29
3160;NA;3
3614;male;2
3262;female;4
3391;male;1
3299;female;15
2673;male;5
2606;female;16
3293;male;9
4682;male;1
4673;male;24
2603;female;4
3393;male;10
2624;male;54
4656;male;101
3826;male;3
3396;female;19
3125;female;3
4666;male;6
2222;male;17
3612;male;13
3002;male;3
3126;male;2
604;male;1
4693;male;5
3129;female;27
3114;male;117
2604;NA;4
3505;male;1
3132;male;31
3123;male;2
3146;male;11
3159;NA;1
3140;male;2
3418;male;15
3415;male;1
3943;male;119
4661;female;4
3310;male;10
3504;male;2
2757;male;2
2745;male;59
594;male;1
3247;male;22
3496;male;10
3516;female;11
2610;male;20
2755;male;87
4692;male;62
3148;male;9
3285;male;1
4679;male;1
3249;male;1
1092;male;103
3280;male;15
3116;male;41
4658;male;59
3414;male;4
2746;female;21
3317;female;8
4687;female;5
2615;male;1072
3861;female;12
3124;male;2
4669;male;65
4677;male;19
2741;female;17
3502;male;4
3151;male;4
4681;male;181
2658;male;82
3255;male;9
4671;male;24
3150;male;9
94;male;1
4670;male;8
4686;female;9
4664;male;1
2609;male;8
3260;male;262
4830;female;20
3633;male;5
2934;male;68
3156;male;63
3973;male;1
3014;male;6
3498;male;1
3501;male;2
3152;male;1
2744;male;50
3137;male;2
2605;female;47
3121;male;5
3499;male;5
3309;male;3
